cust,tax_body,biz_type,total_yards,garbage,recycle,needed_recycle,compost,needed_compost,enough_recycle_compost,garbage_cost,recycle_cost,compost_cost,monthly_bill
98,C,OTHER,20.0,4.0,16.0,2,0.0,1,0,813.98,150.0,0.0,888.98
218,COUNTY,WINERY,9.920000000000002,4.0,5.440000000000001,2,0.48,1,0,890.4,75.0,0.0,965.4
345,COUNTY,WINERY,4.0,4.0,0.0,2,0.0,1,0,890.4,0.0,0.0,890.4
567,S,MEDICAL,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
717,S,GROCERY,0.8,0.32,0.48,0,0.0,0,1,65.25,0.0,0.0,65.25
767,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1,89.71,0.0,0.0,89.71
800,COUNTY,WINERY,4.32,1.44,2.88,1,0.0,0,1,134.57,100.93,0.0,706.5
806,COUNTY,WINERY,3.44,2.0,1.44,1,0.0,1,0,597.92,0.0,0.0,597.92
939,S,OFFICE BLD,2.88,0.96,0.48,0,1.44,0,1,97.87,0.0,0.0,195.74
948,C,RESTAURANT,4.0,4.0,0.0,2,0.0,1,0,842.69,0.0,0.0,842.69
1084,COUNTY,WINERY,21.92,16.0,5.440000000000001,8,0.48,5,0,3520.46,75.0,0.0,1835.23
1092,COUNTY,WINERY,11.44,6.0,5.440000000000001,3,0.0,2,0,1298.25,75.0,0.0,1373.25
1575,COUNTY,WINERY,2.0,2.0,0.0,1,0.0,1,0,760.91,0.0,0.0,760.91
1742,COUNTY,OTHER,1.12,0.16,0.48,0,0.48,0,1,44.86,0.0,0.0,44.86
1767,S,OTHER,4.4,2.0,1.44,1,0.96,1,0,363.91,0.0,0.0,363.91
1824,COUNTY,WINERY,0.96,0.0,0.96,0,0.0,0,1,0.0,201.86,0.0,684.42
2064,COUNTY,WINERY,11.44,2.0,0.96,1,8.48,1,0,482.56,0.0,1210.94,1693.5
2226,COUNTY,VINEYARD,4.94,3.5,1.44,2,0.0,1,0,0.0,0.0,0.0,0.0
2253,S,CHURCH,1.44,0.48,0.48,0,0.48,0,1,97.87,0.0,0.0,97.87
2339,COUNTY,VINEYARD,18.4,6.0,12.4,3,0.0,2,0,1372.96,150.0,0.0,1522.96
2342,COUNTY,WINERY,2.88,1.44,1.44,1,0.0,0,1,162.35,0.0,0.0,487.05
2372,COUNTY,WINERY,1.76,0.32,1.44,0,0.0,0,1,98.42,100.93,0.0,199.35
2678,S,OTHER,2.88,1.44,1.44,1,0.0,0,1,293.61,0.0,0.0,293.61
2754,C,MULTIFAMIL,8.4,6.0,1.44,3,0.96,2,0,1158.56,0.0,68.91,1227.47
2810,Y,OTHER,1.28,0.32,0.48,0,0.48,0,1,67.49,0.0,0.0,67.49
3159,COUNTY,WINERY,0.8,0.32,0.48,0,0.0,0,1,89.71,0.0,0.0,89.71
3630,COUNTY,VINEYARD,0.96,0.48,0.48,0,0.0,0,1,134.57,0.0,0.0,134.57
3723,S,MEDICAL,2.88,0.96,0.96,0,0.96,0,1,97.87,0.0,0.0,195.74
3842,COUNTY,WINERY,13.28,2.0,10.48,1,0.8,1,0,482.56,150.0,0.0,632.56
3844,COUNTY,OTHER,6.08,4.0,1.44,2,0.64,1,0,1005.67,0.0,0.0,1005.67
4126,COUNTY,WINERY,3.92,2.0,1.44,1,0.48,1,0,597.92,0.0,0.0,597.92
4196,COUNTY,WINERY,20.8,6.48,14.0,3,0.32,2,0,1778.9199999999998,990.85,28.34,2798.11
4226,COUNTY,WINERY,13.44,2.0,10.96,1,0.48,1,0,482.56,150.0,0.0,632.56
4260,COUNTY,WINERY,6.0,2.0,4.0,1,0.0,1,0,482.56,667.81,0.0,1150.37
4308,COUNTY,WINERY,35.92,6.0,29.92,3,0.0,2,0,2133.3,225.0,0.0,2358.3
4420,C,LODGING-FW,1.44,0.48,0.96,0,0.0,0,1,103.93,0.0,0.0,103.93
4445,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
4449,COUNTY,WINERY,4.0,2.0,2.0,1,0.0,1,0,540.19,405.15,0.0,945.34
4454,C,SCHOOL,0.96,0.0,0.48,0,0.48,0,1,0.0,0.0,0.0,135.12
4477,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
4520,Y,MULTIFAMIL,1.44,0.48,0.48,0,0.48,0,1,101.24,0.0,0.0,101.24
4631,COUNTY,WINERY,2.88,0.96,1.44,0,0.48,0,1,134.57,100.93,0.0,370.07
4686,C,OTHER,3.92,2.0,1.44,1,0.48,1,0,439.46,0.0,0.0,439.46
4780,COUNTY,WINERY,0.96,0.48,0.48,0,0.0,0,1,134.57,0.0,0.0,134.57
4781,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1,89.71,0.0,0.0,89.71
4831,C,OTHER,2.24,0.32,0.96,0,0.96,0,1,34.64,0.0,0.0,69.28
4845,COUNTY,UTILITY,60.0,6.0,54.0,3,0.0,2,0,1298.25,225.0,0.0,1373.25
4859,S,OFFICE BLD,1.44,0.48,0.96,0,0.0,0,1,97.87,73.41,0.0,171.28
4963,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
5017,S,RESTAURANT,1.44,0.96,0.48,0,0.0,0,1,97.87,0.0,0.0,195.74
5026,COUNTY,WINERY,3.98,3.5,0.48,2,0.0,1,0,0.0,0.0,0.0,0.0
5055,COUNTY,WINERY,3.6,2.16,1.44,1,0.0,1,0,527.42,0.0,0.0,527.42
5212,COUNTY,OTHER,0.96,0.48,0.48,0,0.0,0,1,134.57,0.0,0.0,134.57
5311,COUNTY,WINERY,3.2,1.28,1.44,1,0.48,0,1,358.85,0.0,0.0,358.85
5401,Y,WINERY,2.24,0.48,1.44,0,0.32,0,1,101.24,151.84,0.0,253.08
5492,S,OTHER,0.64,0.16,0.48,0,0.0,0,1,32.62,0.0,0.0,32.62
5504,S,OFFICE BLD,0.64,0.16,0.48,0,0.0,0,1,32.62,0.0,0.0,32.62
5662,S,RETAIL,0.8,0.32,0.48,0,0.0,0,1,65.25,0.0,0.0,65.25
5827,S,RETAIL,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
5868,COUNTY,WINERY,7.0,3.5,3.5,2,0.0,1,0,0.0,0.0,0.0,0.0
6090,S,UTILITY,1.6,0.64,0.48,0,0.48,0,1,130.5,0.0,0.0,130.5
6204,S,OTHER,0.8,0.32,0.48,0,0.0,0,1,65.25,0.0,0.0,65.25
6205,COUNTY,CONTRACTOR,1.28,0.32,0.48,0,0.48,0,1,89.71,0.0,0.0,89.71
6413,COUNTY,OTHER,3.92,2.0,0.48,1,1.44,1,0,482.56,0.0,183.04,665.6
6542,COUNTY,WINERY,7.0,3.5,3.5,2,0.0,1,0,0.0,0.0,0.0,0.0
6640,C,RESTAURANT,14.64,2.0,6.4,1,6.24,1,1,439.46,75.0,0.0,514.46
6796,COUNTY,RESTAURANT,90.56,4.0,69.28,2,17.28,1,1,890.4,804.6500000000001,0.0,1772.84
6835,COUNTY,WINERY,3.44,2.0,1.44,1,0.0,1,0,482.56,0.0,0.0,482.56
7162,COUNTY,WINERY,3.44,2.0,1.44,1,0.0,1,0,760.91,0.0,0.0,760.91
7567,S,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0,363.91,0.0,0.0,363.91
7679,S,COMMUNITY,0.64,0.16,0.48,0,0.0,0,1,32.62,0.0,0.0,32.62
7849,S,OTHER,32.0,16.0,16.0,8,0.0,5,0,2557.94,1918.46,0.0,2238.2
8041,COUNTY,LODGING,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
8045,COUNTY,WINERY,2.56,0.64,0.96,0,0.96,0,1,179.42,0.0,0.0,179.42
8063,S,GROCERY,58.0,18.0,37.44,9,2.56,6,0,2921.8500000000004,225.0,0.0,1048.95
8141,COUNTY,WINERY,3.92,2.0,1.44,1,0.48,1,0,540.19,0.0,0.0,540.19
8212,S,MULTIFAMIL,5.76,0.96,3.36,0,1.44,0,1,32.62,73.41,0.0,269.13
8213,S,OTHER,1.76,0.32,0.96,0,0.48,0,1,65.24,0.0,0.0,65.24
8327,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1,89.71,0.0,0.0,89.71
8626,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1,89.71,0.0,0.0,89.71
8657,S,RESTAURANT,1.44,0.48,0.96,0,0.0,0,1,97.87,0.0,0.0,97.87
8747,COUNTY,WINERY,4.4,2.0,1.92,1,0.48,1,0,482.56,100.93,0.0,583.49
8758,COUNTY,WINERY,5.44,4.0,1.44,2,0.0,1,0,1005.67,75.0,0.0,1130.67
8800,C,MULTIFAMIL,2.88,1.44,0.96,1,0.48,0,0,304.02,0.0,0.0,304.02
8818,COUNTY,WINERY,2.4,0.96,0.96,0,0.48,0,1,269.14,100.93,0.0,370.07
8883,COUNTY,CONTRACTOR,2.48,2.0,0.48,1,0.0,1,0,482.56,0.0,0.0,482.56
8959,COUNTY,WINERY,4.96,2.0,2.0,1,0.96,1,0,482.56,361.92,0.0,844.48
9090,Y,WINERY,1.44,0.48,0.96,0,0.0,0,1,101.24,75.92,0.0,177.16
9121,COUNTY,WINERY,40.400000000000006,6.0,33.92,3,0.48,2,0,1298.25,400.93,0.0,1624.18
9195,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
9349,COUNTY,WINERY,0.64,0.16,0.48,0,0.0,0,1,72.9,0.0,0.0,72.9
9368,COUNTY,WINERY,8.96,4.0,4.0,2,0.96,1,0,890.4,667.81,0.0,1638.21
9376,S,RESTAURANT,50.32000000000001,0.0,6.0,0,44.32000000000001,0,1,0.0,730.46,454.87,1185.33
9481,Y,RESTAURANT,33.44,16.0,17.439999999999998,8,0.0,5,0,3052.32,150.0,0.0,1601.16
9784,COUNTY,VINEYARD,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
9819,S,RETAIL,0.64,0.16,0.48,0,0.0,0,1,32.62,0.0,0.0,32.62
9846,S,COMMUNITY,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
9850,Y,RETAIL,1.92,0.48,1.44,0,0.0,0,1,101.24,151.84,0.0,253.08
9906,COUNTY,CONTRACTOR,4.0,4.0,0.0,2,0.0,1,0,1005.67,0.0,0.0,1005.67
9910,COUNTY,OTHER,0.64,0.16,0.48,0,0.0,0,1,44.86,0.0,0.0,44.86
9920,C,MULTIFAMIL,26.4,24.0,1.92,12,0.48,8,0,4634.24,0.0,0.0,2317.12
9928,COUNTY,CHURCH,1.92,0.96,0.48,0,0.48,0,1,134.57,0.0,0.0,269.14
9929,C,LODGING,16.0,16.0,0.0,8,0.0,5,0,1627.98,0.0,0.0,1627.98
9964,C,MEDICAL,2.4,0.96,0.48,0,0.96,0,1,207.86,0.0,68.91,276.77
10065,COUNTY,WINERY,16.4,6.0,8.0,3,2.4,2,1,1298.25,1335.62,91.52,2816.91
10067,COUNTY,WINERY,34.0,16.0,18.0,8,0.0,5,0,3873.26,3310.08,0.0,5246.71
10071,COUNTY,WINERY,20.0,6.0,10.0,3,4.0,2,1,1644.35,915.85,762.37,3322.57
10076,COUNTY,LODGING-FW,18.880000000000003,16.0,1.92,8,0.96,5,0,3412.2,100.93,91.52,1898.55
10082,Y,MULTIFAMIL,2.88,1.44,1.44,1,0.0,0,1,101.24,0.0,0.0,303.72
10083,COUNTY,UTILITY,9.44,4.0,5.44,2,0.0,1,0,890.4,667.81,0.0,1558.21
10103,C,MULTIFAMIL,2.96,2.0,0.96,1,0.0,1,0,428.24,0.0,0.0,428.24
10106,C,LODGING,19.36,16.0,2.88,8,0.48,5,0,3126.06,228.0,0.0,1791.03
10112,Y,CHURCH,2.88,0.96,0.48,0,1.44,0,1,101.24,0.0,0.0,202.48
10139,S,OTHER,11.84,8.0,3.36,4,0.48,3,0,1337.86,73.41,0.0,1511.27
10144,C,MULTIFAMIL,7.2,2.88,2.88,1,1.44,1,1,202.68,0.0,0.0,608.04
10145,C,OTHER,206.24,30.56,86.4,15,89.28,10,1,236.46,0.0,0.0,6451.98
10154,C,LODGING,37.92,36.0,1.44,18,0.48,12,0,7194.63,0.0,0.0,2398.21
10161,C,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1,140.51,0.0,0.0,140.51
10174,C,RETAIL,3.44,2.0,1.44,1,0.0,1,0,439.46,0.0,0.0,439.46
10185,S,OTHER,0.8,0.32,0.48,0,0.0,0,1,65.25,0.0,0.0,65.25
10209,C,OTHER,2.4,0.48,1.44,0,0.48,0,1,103.93,76.0,0.0,255.93
10222,C,OFFICE BLD,1.6,0.64,0.96,0,0.0,0,1,138.56,0.0,0.0,138.56
10224,C,LODGING,10.4,8.0,1.44,4,0.96,3,0,1627.98,0.0,68.91,882.9
10227,C,MEDICAL,1.28,0.32,0.48,0,0.48,0,1,69.28,0.0,0.0,69.28
10233,C,OTHER,94.88,23.36,70.08,12,1.44,8,0,33.78,0.0,0.0,4931.88
10238,C,MULTIFAMIL,0.8,0.32,0.48,0,0.0,0,1,33.78,0.0,0.0,67.56
10247,C,GROCERY,79.36,60.0,4.96,30,14.400000000000002,20,0,7194.63,610.5,0.0,3008.71
10248,S,OTHER,10.48,4.0,6.48,2,0.0,1,0,668.93,75.0,0.0,743.93
10250,S,LODGING-FW,39.84,36.0,2.4,18,1.44,12,0,5667.03,73.41,0.0,2035.83
10255,COUNTY,WINERY,31.44,24.0,7.439999999999999,12,0.0,8,0,6427.98,1233.26,0.0,4567.25
10257,S,OTHER,0.48,0.48,0.0,0,0.0,0,1,97.87,0.0,0.0,97.87
10260,C,OFFICE BLD,1.76,0.32,0.96,0,0.48,0,1,34.64,0.0,0.0,69.28
10262,S,OFFICE BLD,1.44,0.96,0.48,0,0.0,0,1,97.87,0.0,0.0,195.74
10263,S,RESTAURANT,32.0,32.0,0.0,16,0.0,11,0,5115.88,0.0,0.0,1278.97
10265,S,GROCERY,347.68,156.0,162.88,78,28.800000000000004,52,0,24514.11,746.8199999999999,0.0,6347.58
10271,S,OTHER,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,363.91
10289,S,OTHER,21.44,4.0,17.439999999999998,2,0.0,1,0,668.93,150.0,0.0,743.93
10295,S,RETAIL,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,363.91
10301,S,OTHER,1.44,0.48,0.96,0,0.0,0,1,97.87,73.41,0.0,171.28
10306,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
10310,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
10316,S,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0,363.91,0.0,0.0,363.91
10317,S,OTHER,9.92,2.0,6.96,1,0.96,1,0,363.91,75.0,66.56,505.47
10318,S,UTILITY,4.48,4.0,0.48,2,0.0,1,0,668.93,0.0,0.0,668.93
10321,S,OTHER,9.92,4.0,5.44,2,0.48,1,0,668.93,75.0,0.0,743.93
10323,S,MULTIFAMIL,17.919999999999998,9.76,2.88,5,5.279999999999999,3,0,766.8,0.0,0.0,1843.37
10325,S,COMMUNITY,1.44,0.48,0.48,0,0.48,0,1,97.87,0.0,0.0,97.87
10327,S,VINEYARD,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
10328,S,OTHER,43.04,16.0,18.4,8,8.64,5,1,2557.94,296.82,0.0,1500.79
10333,S,MULTIFAMIL,2.4,0.96,0.96,0,0.48,0,1,195.75,0.0,0.0,195.75
10334,S,GROCERY,3.92,2.0,1.44,1,0.48,1,0,363.91,0.0,0.0,363.91
10335,S,SCHOOL,3.92,2.0,1.44,1,0.48,1,0,363.91,0.0,0.0,363.91
10340,S,OFFICE BLD,1.44,0.48,0.48,0,0.48,0,1,97.87,0.0,0.0,97.87
10342,S,MEDICAL,5.28,3.84,0.96,2,0.48,1,0,391.48,0.0,0.0,391.48
10343,S,OTHER,26.0,12.0,10.0,6,4.0,4,1,1947.9,805.46,454.87,3208.23
10344,S,OTHER,139.51999999999998,34.4,105.12,17,0.0,11,0,32.62,0.0,0.0,7013.3
10345,S,OTHER,5.44,4.0,1.44,2,0.0,1,0,668.93,0.0,0.0,668.93
10346,S,WINERY,2.48,2.0,0.48,1,0.0,1,0,363.91,0.0,0.0,363.91
10347,S,OTHER,38.4,36.0,1.44,18,0.96,12,0,5910.75,0.0,66.56,2036.81
10348,S,MULTIFAMIL,8.0,4.0,4.0,2,0.0,1,0,668.93,501.7,0.0,1170.63
10349,S,MULTIFAMIL,3.44,2.0,0.96,1,0.48,1,0,363.91,0.0,0.0,413.91
10355,S,OFFICE BLD,5.44,4.0,0.96,2,0.48,1,0,668.93,0.0,0.0,668.93
10366,C,MULTIFAMIL,2.4,2.4,0.0,1,0.0,1,0,101.34,0.0,0.0,506.7
10368,COUNTY,LODGING-FW,10.88,4.0,4.0,2,2.88,1,1,890.4,667.81,0.0,1658.21
10373,S,CHURCH,5.52,2.0,2.4,1,1.12,1,1,363.91,0.0,0.0,363.91
10374,S,COMMUNITY,2.96,2.0,0.96,1,0.0,1,0,363.91,0.0,0.0,363.91
10378,S,CHURCH,3.44,2.0,0.48,1,0.96,1,0,363.91,0.0,66.56,430.47
10383,S,OFFICE BLD,54.48,54.0,0.48,27,0.0,18,0,8412.210000000001,0.0,0.0,2804.07
10384,S,CONTRACTOR,2.96,2.0,0.96,1,0.0,1,0,363.91,0.0,0.0,363.91
10390,Y,CHURCH,1.44,0.48,0.48,0,0.48,0,1,101.24,0.0,0.0,101.24
10394,Y,OTHER,159.68,40.16,114.24,20,5.279999999999999,13,0,134.99,0.0,0.0,8471.2
10395,Y,LODGING,21.28,16.0,4.96,8,0.32,5,0,3052.32,75.0,0.0,1601.16
10400,Y,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1,101.24,0.0,0.0,101.24
10403,Y,OTHER,17.92,1.44,16.48,1,0.0,0,1,101.24,2289.26,0.0,1548.35
10410,C,LODGING-FW,1.44,0.48,0.48,0,0.48,0,1,103.93,0.0,0.0,103.93
10411,C,LODGING,31.68,3.36,26.88,2,1.44,1,1,103.93,150.0,0.0,802.51
10418,Y,CHURCH,1.44,0.48,0.48,0,0.48,0,1,101.24,0.0,0.0,101.24
10432,Y,OTHER,19.360000000000003,16.0,1.44,8,1.92,5,0,3160.6,0.0,68.84,1649.14
10435,COUNTY,VINEYARD,5.44,4.0,1.44,2,0.0,1,0,890.4,0.0,0.0,890.4
10438,COUNTY,OTHER,14.000000000000002,6.0,5.440000000000001,3,2.56,2,1,1298.25,667.81,0.0,1966.06
10442,COUNTY,OTHER,9.44,4.0,5.440000000000001,2,0.0,1,0,917.47,667.81,0.0,1585.28
10445,COUNTY,WINERY,15.44,6.0,9.44,3,0.0,2,0,1298.25,150.0,0.0,1488.25
10448,COUNTY,OTHER,12.48,12.48,0.0,6,0.0,4,0,44.86,0.0,0.0,3499.08
10453,COUNTY,OTHER,3.92,2.0,1.44,1,0.48,1,0,482.56,0.0,0.0,482.56
10459,COUNTY,OTHER,2.48,2.0,0.48,1,0.0,1,0,482.56,0.0,0.0,482.56
10461,COUNTY,WINERY,6.24,4.0,0.96,2,1.28,1,0,890.4,0.0,0.0,890.4
10471,COUNTY,OTHER,9.44,4.0,4.48,2,0.96,1,0,890.4,75.0,0.0,965.4
10475,COUNTY,WINERY,10.96,4.0,6.96,2,0.0,1,0,890.4,75.0,0.0,965.4
10480,COUNTY,SCHOOL,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
10483,COUNTY,VINEYARD,5.44,4.0,1.44,2,0.0,1,0,890.4,0.0,0.0,890.4
10487,COUNTY,CHURCH,3.92,2.0,1.44,1,0.48,1,0,482.56,0.0,0.0,482.56
10488,COUNTY,SCHOOL,4.96,1.92,2.56,1,0.48,1,0,349.6,0.0,0.0,699.2
10490,COUNTY,SCHOOL,6.96,2.0,3.52,1,1.44,1,1,482.56,0.0,0.0,482.56
10500,S,OTHER,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,363.91
10503,COUNTY,VINEYARD,4.0,0.0,4.0,0,0.0,0,1,0.0,667.81,0.0,667.81
10507,COUNTY,WINERY,11.92,4.0,7.439999999999999,2,0.48,1,0,890.4,75.0,0.0,965.4
10510,COUNTY,VINEYARD,4.0,4.0,0.0,2,0.0,1,0,1447.1,0.0,0.0,1447.1
10512,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
10516,COUNTY,VINEYARD,5.44,4.0,1.44,2,0.0,1,0,890.4,0.0,0.0,890.4
10519,COUNTY,WINERY,10.5,3.5,7.0,2,0.0,1,0,0.0,0.0,0.0,0.0
10521,COUNTY,WINERY,21.44,4.0,11.44,2,6.0,1,1,1121.14,150.0,1168.96,2440.1
10522,COUNTY,OTHER,0.96,0.48,0.48,0,0.0,0,1,134.57,0.0,0.0,134.57
10523,COUNTY,WINERY,17.439999999999998,4.0,13.44,2,0.0,1,0,890.4,817.81,0.0,1708.21
10524,COUNTY,GROCERY,15.76,6.0,4.0,3,5.76,2,1,1298.25,75.0,0.0,1373.25
10525,COUNTY,WINERY,12.56,6.0,4.0,3,2.56,2,1,2133.3,1085.33,360.8,3579.43
10531,COUNTY,VINEYARD,8.0,4.0,4.0,2,0.0,1,0,1447.1,1085.33,0.0,2532.43
10532,COUNTY,WINERY,25.44,6.0,15.44,3,4.0,2,1,1298.25,817.81,605.47,2721.53
10535,COUNTY,VINEYARD,4.48,4.0,0.48,2,0.0,1,0,890.4,0.0,0.0,890.4
10550,S,OTHER,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,363.91
10553,S,CONTRACTOR,4.32,0.0,2.4,0,1.92,0,1,0.0,73.41,66.56,405.39
10556,S,WINERY,27.92,6.0,21.92,3,0.0,2,0,973.95,298.41,0.0,1197.36
10558,Y,GROCERY,97.2,36.0,55.44,18,5.76,12,0,6758.91,225.0,0.0,2327.97
10561,Y,MULTIFAMIL,29.6,16.0,8.32,8,5.280000000000001,5,1,3160.6,75.0,206.52,1861.82
10613,COUNTY,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0,482.56,0.0,0.0,482.56
10626,S,OTHER,18.0,2.0,16.0,1,0.0,1,0,363.91,150.0,0.0,438.91
10628,C,MEDICAL,4.4,2.0,1.92,1,0.48,1,0,439.46,76.0,0.0,515.46
10638,S,OFFICE BLD,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,413.91
10642,S,LODGING,2.96,2.0,0.96,1,0.0,1,0,363.91,0.0,0.0,363.91
