monthly_bill,tax_body,biz_type,total_yards,garbage,recycle,needed_recycle,compost,needed_compost,enough_recycle_compost
413.91,S,OFFICE BLD,3.44,2.0,1.44,1,0.0,1,0
363.91,S,LODGING,2.96,2.0,0.96,1,0.0,1,0
1788.94,COUNTY,WINERY,13.76,8.0,5.44,4,0.32,3,0
233.06,COUNTY,WINERY,1.12,0.64,0.48,0,0.0,0,1
1856.1,COUNTY,WINERY,24.96,16.0,8.96,8,0.0,5,0
1040.4,COUNTY,WINERY,24.0,4.0,20.0,2,0.0,1,0
32.62,S,ENTERTAINM,0.64,0.16,0.48,0,0.0,0,1
131.25,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1
503.88,S,OFFICE BLD,4.88,2.0,1.92,1,0.96,1,0
1040.4,COUNTY,WINERY,14.0,4.0,10.0,2,0.0,1,0
1353.97,S,OFFICE BLD,20.48,16.0,4.48,8,0.0,5,0
89.71,COUNTY,HOME IMPRO,1.28,0.32,0.48,0,0.48,0,1
134.57,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1
813.49,COUNTY,WINERY,14.72,2.0,11.92,1,0.8,1,0
743.93,S,UTILITY,8.48,4.0,4.48,2,0.0,1,0
202.68,C,MULTIFAMIL,3.36,0.96,1.92,0,0.48,0,1
2032.03,COUNTY,WINERY,69.92,16.0,53.92,8,0.0,5,0
482.56,COUNTY,VINEYARD,2.96,2.0,0.48,1,0.48,1,0
103.93,C,MEDICAL,0.96,0.48,0.0,0,0.48,0,1
168.9,C,MULTIFAMIL,5.6,0.8,2.4,0,2.4,0,1
7995.2,C,MOBILEHOME,213.76,30.4,92.16,15,91.2,10,1
32.62,S,RETAIL,0.16,0.16,0.0,0,0.0,0,1
1723.97,COUNTY,WINERY,14.720000000000002,8.0,6.400000000000001,4,0.32,3,0
890.4,COUNTY,WINERY,6.24,4.0,1.44,2,0.8,1,0
103.92,C,MULTIFAMIL,2.4,0.48,1.44,0,0.48,0,1
1048.95,S,SCHOOL,10.48,6.0,4.0,3,0.48,2,0
146.82,S,SCHOOL,8.96,0.0,2.4,0,6.5600000000000005,0,1
97.87,S,COMMUNITY,1.76,0.48,0.48,0,0.8,0,1
1481.22,S,WINERY,19.92,4.0,9.44,2,6.48,1,1
3698.56,COUNTY,WINERY,38.0,4.0,34.0,2,0.0,1,0
435.94,Y,BAR NO FW,2.0,2.0,0.0,1,0.0,1,0
365.88,COUNTY,PARK,1.92,0.96,0.96,0,0.0,0,1
2266.06,COUNTY,WINERY,67.92,6.0,61.44,3,0.48,2,0
2139.51,C,LODGING-FW,49.2,6.0,30.72,3,12.48,2,1
892.19,S,WINERY,8.4,2.0,1.92,1,4.48,1,1
862.31,C,MULTIFAMIL,5.92,4.0,0.96,2,0.96,1,0
363.91,S,RETAIL,2.96,2.0,0.96,1,0.0,1,0
32.62,S,COMMUNITY,0.64,0.16,0.48,0,0.0,0,1
3450.26,COUNTY,WINERY,41.92,16.0,24.96,8,0.96,5,0
163.1,S,MULTIFAMIL,2.24,0.8,0.96,0,0.48,0,1
965.4,COUNTY,WINERY,11.92,4.0,7.439999999999999,2,0.48,1,0
540.19,COUNTY,WINERY,3.44,2.0,1.44,1,0.0,1,0
363.91,S,WINERY,3.44,2.0,1.44,1,0.0,1,0
293.71,COUNTY,WINERY,5.92,0.48,5.44,0,0.0,0,1
2671.79,COUNTY,RESTAURANT,98.32,24.0,59.44,12,14.88,8,1
33.75,Y,HOA,0.64,0.16,0.48,0,0.0,0,1
363.91,S,LANDSCAPER,2.0,2.0,0.0,1,0.0,1,0
0.0,COUNTY,WINERY,8.44,3.5,4.94,2,0.0,1,0
269.13,COUNTY,WINERY,2.88,0.96,1.44,0,0.48,0,1
284.84,Y,FOURPLEX,2.4,0.96,0.96,0,0.48,0,1
617.13,COUNTY,OFFICE BLD,3.44,2.48,0.48,1,0.48,1,0
2116.06,COUNTY,WINERY,50.0,6.0,44.0,3,0.0,2,0
32.62,S,OFFICE BLD,0.64,0.16,0.48,0,0.0,0,1
1040.4,COUNTY,WINERY,12.0,4.0,8.0,2,0.0,1,0
134.57,COUNTY,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1
130.5,S,RETAIL,1.76,1.28,0.48,1,0.0,0,0
1121.14,COUNTY,VINEYARD,4.0,4.0,0.0,2,0.0,1,0
195.74,S,CHURCH,2.88,0.96,0.96,0,0.96,0,1
4606.93,C,LODGING,72.0,18.0,54.0,9,0.0,6,0
3884.06,C,RESTAURANT,88.0,36.0,52.0,18,0.0,12,0
1158.56,C,MULTIFAMIL,7.92,6.0,1.44,3,0.48,2,0
793.4,C,MULTIFAMIL,4.0,4.0,0.0,2,0.0,1,0
557.56,COUNTY,WINERY,6.96,2.0,4.96,1,0.0,1,0
97.87,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1
1522.1,COUNTY,WINERY,4.0,4.0,0.0,2,0.0,1,0
195.74,S,CHURCH,1.92,0.96,0.48,0,0.48,0,1
32.62,S,MULTIFAMIL,1.12,0.16,0.48,0,0.48,0,1
1150.37,COUNTY,WINERY,6.48,2.0,4.0,1,0.48,1,0
97.87,S,WINERY,0.96,0.48,0.48,0,0.0,0,1
97.87,S,RETAIL,0.96,0.48,0.48,0,0.0,0,1
318.1,S,RESTAURANT,8.16,0.48,1.92,0,5.76,0,1
2596.5,COUNTY,MEDICAL,15.84,12.0,3.84,6,0.0,4,0
65.25,S,RETAIL,0.8,0.32,0.48,0,0.0,0,1
2348.22,Y,HOA,12.0,8.0,4.0,4,0.0,3,0
506.7,C,MULTIFAMIL,4.8,2.4,1.92,1,0.48,1,0
103.93,C,UTILITY,1.44,0.48,0.48,0,0.48,0,1
97.87,S,DELI/CAFE,0.96,0.48,0.48,0,0.0,0,1
743.93,S,CATERING,112.96,4.0,97.44,2,11.52,1,1
2011.34,COUNTY,MEMBER,8.96,8.0,0.96,4,0.0,3,0
3129.38,COUNTY,WINERY,26.56,16.0,4.0,8,6.5600000000000005,5,0
139.98,S,CHURCH,0.48,0.48,0.0,0,0.0,0,1
605.47,COUNTY,WINERY,5.44,0.0,1.44,0,4.0,0,1
134.57,COUNTY,VINEYARD,0.96,0.48,0.48,0,0.0,0,1
1532.6,C,MULTIFAMIL,8.0,4.0,4.0,2,0.0,1,0
482.56,COUNTY,VINEYARD,2.96,2.0,0.48,1,0.48,1,0
1460.92,S,WINERY,12.32,0.0,12.0,0,0.32,0,1
34.64,C,RETAIL,0.64,0.16,0.48,0,0.0,0,1
33.75,Y,WINERY,0.64,0.16,0.48,0,0.0,0,1
417.56,S,WINERY,7.359999999999999,0.96,5.92,0,0.48,0,1
2271.94,COUNTY,WINERY,12.0,6.0,6.0,3,0.0,2,0
134.57,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1
1558.21,COUNTY,WINERY,8.32,4.0,4.0,2,0.32,1,0
482.56,COUNTY,POLICEFIRE,2.96,2.0,0.96,1,0.0,1,0
44.86,COUNTY,CONTRACTOR,0.64,0.16,0.48,0,0.0,0,1
34.64,C,OFFICE BLD,0.64,0.16,0.48,0,0.0,0,1
67.49,Y,OFFICE BLD,1.28,0.32,0.48,0,0.48,0,1
89.71,COUNTY,COMMUNITY,1.28,0.32,0.48,0,0.48,0,1
134.57,COUNTY,WINERY,1.92,0.48,0.96,0,0.48,0,1
810.72,C,MULTIFAMIL,7.68,3.84,2.4,2,1.44,1,1
3553.81,Y,LODGING-FW,61.76,36.0,20.0,18,5.76,12,0
166.73,S,OFFICE BLD,2.56,0.32,1.44,0,0.8,0,1
44.86,COUNTY,OFFICE BLD,1.12,0.16,0.48,0,0.48,0,1
269.14,COUNTY,MULTIFAMIL,1.92,0.96,0.96,0,0.0,0,1
147.96,S,VINEYARD,1.12,0.16,0.96,0,0.0,0,1
735.49,S,LODGING,10.4,8.0,1.44,4,0.96,3,0
3983.89,S,RESTAURANT,125.44,16.0,77.75999999999999,8,31.68,5,1
134.57,COUNTY,CONTRACTOR,0.96,0.48,0.48,0,0.0,0,1
4095.03,COUNTY,WINERY,34.32,12.0,22.0,6,0.32,4,0
1966.06,COUNTY,PARK,10.0,6.0,4.0,3,0.0,2,0
303.72,Y,OFFICE BLD,3.36,1.44,1.44,1,0.48,0,1
6836.26,Y,RESTAURANT,208.0,80.0,128.0,40,0.0,27,0
130.5,S,WINERY,2.56,0.64,0.96,0,0.96,0,1
97.87,S,RETAIL,0.96,0.48,0.48,0,0.0,0,1
1252.72,COUNTY,VINEYARD,4.0,4.0,0.0,2,0.0,1,0
101.24,Y,LODGING,1.44,0.48,0.48,0,0.48,0,1
965.4,COUNTY,WINERY,9.44,4.0,5.44,2,0.0,1,0
130.5,S,WINERY,2.56,0.64,0.96,0,0.96,0,1
75.0,COUNTY,WINERY,16.0,0.0,16.0,0,0.0,0,1
97.87,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1
727.82,S,SCHOOL,6.88,4.0,2.88,2,0.0,1,0
708.68,Y,MULTIFAMIL,6.72,3.36,3.36,2,0.0,1,0
44.86,COUNTY,CHURCH,0.64,0.16,0.48,0,0.0,0,1
2979.38,COUNTY,WINERY,24.0,16.0,4.0,8,4.0,5,0
207.86,C,MEDICAL,1.44,0.96,0.48,0,0.0,0,1
439.46,C,MULTIFAMIL,3.92,2.0,1.44,1,0.48,1,0
2671.8,COUNTY,WINERY,58.56,36.0,17.439999999999998,18,5.12,12,0
269.14,COUNTY,WINERY,1.92,0.96,0.96,0,0.0,0,1
278.4,Y,POSTOFFICE,2.4,0.96,1.44,0,0.0,0,1
2866.26,S,MULTIFAMIL,34.88,32.0,2.88,16,0.0,11,0
1048.95,S,WINERY,43.44,6.0,25.44,3,12.0,2,1
0.0,COUNTY,HOSPITAL,17.92,0.0,11.52,0,6.4,0,1
134.57,COUNTY,MEDICAL,0.96,0.48,0.48,0,0.0,0,1
34.64,C,WINERY,0.64,0.16,0.48,0,0.0,0,1
103.93,C,CHURCH,1.44,0.48,0.48,0,0.48,0,1
2283.3,COUNTY,WINERY,16.96,6.0,10.96,3,0.0,2,0
1503.97,S,RESTAURANT,46.08,16.0,21.44,8,8.64,5,1
44.86,COUNTY,VINEYARD,1.12,0.16,0.48,0,0.48,0,1
179.42,COUNTY,LODGING-FW,1.76,0.32,0.96,0,0.48,0,1
69.28,C,WINERY,1.28,0.32,0.48,0,0.48,0,1
311.79,C,LODGING,3.36,1.44,1.44,1,0.48,0,1
283.86,C,WINERY,2.88,0.96,0.96,0,0.96,0,1
890.4,COUNTY,MULTIFAMIL,6.08,4.0,1.44,2,0.64,1,0
103.93,C,LODGING-FW,1.44,0.48,0.48,0,0.48,0,1
32.62,S,OFFICE BLD,0.64,0.16,0.48,0,0.0,0,1
89.71,COUNTY,POLICEFIRE,0.8,0.32,0.48,0,0.0,0,1
0.0,C,SCHOOL,6.08,0.0,0.96,0,5.12,0,1
179.42,COUNTY,WINERY,2.08,0.64,0.96,0,0.48,0,1
1170.67,COUNTY,WINERY,6.0,2.0,4.0,1,0.0,1,0
1071.82,S,VINEYARD,8.4,6.48,1.92,3,0.0,2,0
97.87,S,MIXED USE,1.44,0.48,0.48,0,0.48,0,1
7267.84,COUNTY,WINERY,116.48,24.0,80.48,12,12.0,8,1
631.71,COUNTY,VINEYARD,3.44,2.0,0.48,1,0.96,1,0
242.99,COUNTY,VINEYARD,0.48,0.0,0.0,0,0.48,0,1
303.72,Y,RESTAURANT,2.88,1.44,1.44,1,0.0,0,1
1373.25,COUNTY,WINERY,12.96,6.0,6.96,3,0.0,2,0
708.93,S,LODGING,5.92,4.0,1.44,2,0.48,1,0
195.74,S,RESTAURANT,1.92,0.96,0.96,0,0.0,0,1
415.72,C,LODGING,4.32,1.92,1.44,1,0.96,1,0
179.44,COUNTY,MULTIFAMIL,1.6,0.64,0.96,0,0.0,0,1
813.98,C,MINI MART,4.0,4.0,0.0,2,0.0,1,0
391.48,S,MULTIFAMIL,3.84,1.92,1.44,1,0.48,1,0
391.48,S,MULTIFAMIL,4.32,1.92,1.92,1,0.48,1,0
482.56,COUNTY,UTILITY,2.48,2.0,0.48,1,0.0,1,0
742.46,C,DELI/CAFE,20.4,2.0,6.88,1,11.52,1,1
195.74,S,COMMUNITY,1.92,0.96,0.96,0,0.0,0,1
293.61,S,MULTIFAMIL,3.36,1.44,1.44,1,0.48,0,1
65.25,S,HOME IMPRO,0.8,0.32,0.48,0,0.0,0,1
771.01,S,WINERY,9.92,4.0,5.44,2,0.48,1,0
97.87,S,AUTO,0.96,0.48,0.48,0,0.0,0,1
1040.4,COUNTY,WINERY,13.44,4.0,9.44,2,0.0,1,0
331.93,C,WINERY,2.88,0.48,2.4,0,0.0,0,1
89.71,COUNTY,WINERY,0.8,0.32,0.48,0,0.0,0,1
34.64,C,UTILITY,1.12,0.16,0.48,0,0.48,0,1
890.4,COUNTY,WINERY,5.44,4.0,1.44,2,0.0,1,0
171.28,S,WINERY,1.44,0.48,0.96,0,0.0,0,1
207.86,C,RESTAURANT,2.24,0.96,0.96,0,0.32,0,1
195.74,S,MULTIFAMIL,2.88,0.96,0.96,0,0.96,0,1
515.46,C,BAR NO FW,3.92,2.0,1.92,1,0.0,1,0
439.46,C,BAKERY,3.44,2.0,1.44,1,0.0,1,0
6969.08,Y,RESTAURANT,157.28,104.0,41.760000000000005,52,11.52,35,0
673.21,COUNTY,WINERY,4.24,2.3200000000000003,1.92,1,0.0,1,0
255.93,C,RESTAURANT,4.8,0.48,1.44,0,2.88,0,1
2015.04,C,MULTIFAMIL,16.88,14.0,2.88,7,0.0,5,0
311.79,C,RESTAURANT,2.4,1.44,0.96,1,0.0,0,0
1039.3,C,MULTIFAMIL,8.16,4.800000000000001,2.4,2,0.96,2,0
34.64,C,RETAIL,1.12,0.16,0.48,0,0.48,0,1
283.86,C,RESTAURANT,2.72,0.96,1.44,0,0.32,0,1
813.98,C,LODGING,5.92,4.0,1.44,2,0.48,1,0
415.72,C,LODGING-FW,3.84,1.92,1.44,1,0.48,1,0
97.87,S,UTILITY,1.44,0.48,0.48,0,0.48,0,1
1150.37,COUNTY,WINERY,6.960000000000001,2.0,4.960000000000001,1,0.0,1,0
1627.98,C,MULTIFAMIL,18.88,16.0,2.88,8,0.0,5,0
3536.24,Y,RESTAURANT,45.76,40.0,5.76,20,0.0,13,0
519.65,C,LODGING-FW,3.84,2.4,1.44,1,0.0,1,0
103.93,C,RESTAURANT,3.52,0.48,0.48,0,2.56,0,1
202.48,Y,POLICEFIRE,2.4,0.96,0.96,0,0.48,0,1
405.36,C,MULTIFAMIL,3.36,1.92,0.96,1,0.48,1,0
514.46,C,DELI/CAFE,9.44,2.0,7.439999999999999,1,0.0,1,0
311.79,C,RESTAURANT,5.279999999999999,1.44,0.0,1,3.84,0,0
58.27,COUNTY,RETAIL,1.12,0.16,0.48,0,0.48,0,1
101.24,Y,WINERY,1.44,0.48,0.48,0,0.48,0,1
207.86,C,PRESCHOOL,1.44,0.96,0.48,0,0.0,0,1
34.64,C,RETAIL,0.64,0.16,0.48,0,0.0,0,1
69.28,C,ENTERTAINM,0.8,0.32,0.48,0,0.0,0,1
34.64,C,BAKERY,1.12,0.16,0.48,0,0.48,0,1
102.69,C,MULTIFAMIL,1.6,0.16,0.48,0,0.96,0,1
1398.87,Y,RESTAURANT,8.0,4.0,4.0,2,0.0,1,0
482.56,COUNTY,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0
103.93,C,GROCERY,1.28,0.48,0.48,0,0.32,0,1
134.57,COUNTY,LODGING,1.44,0.48,0.48,0,0.48,0,1
130.48,S,FOURPLEX,3.04,0.64,1.92,0,0.48,0,1
171.28,S,OFFICE BLD,1.44,0.48,0.96,0,0.0,0,1
134.57,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1
650.33,COUNTY,VINEYARD,4.640000000000001,0.16,0.48,0,4.0,0,1
179.93,C,WINERY,1.92,0.48,0.96,0,0.48,0,1
482.56,COUNTY,LANDSCAPER,2.0,2.0,0.0,1,0.0,1,0
890.4,COUNTY,CONTRACTOR,4.0,4.0,0.0,2,0.0,1,0
202.68,C,MULTIFAMIL,1.92,0.96,0.48,0,0.48,0,1
335.71,S,MULTIFAMIL,2.88,0.96,0.96,0,0.96,0,1
134.57,COUNTY,MIXED USE,1.44,0.48,0.48,0,0.48,0,1
134.57,COUNTY,LODGING-FW,1.44,0.48,0.48,0,0.48,0,1
1456.25,COUNTY,WINERY,8.0,2.0,6.0,1,0.0,1,0
65.25,S,WINERY,0.8,0.32,0.48,0,0.0,0,1
